5	2011	08
2	2011	09
2	2011	10
12	2012	05
1	2012	06
23	2012	07
155	2012	08
78	2012	09
33	2012	10
18	2012	11
11	2012	12
9	2013	01
11	2013	02
20	2013	03
10	2013	04
6	2013	05
4	2013	06
3	2013	07
5	2013	08
2	2013	09
1	2013	11
3	2013	12
1	2014	02
1	2014	03
1	2014	05
2	2014	06
5	2014	07
4	2014	09
2	2014	10
1	2014	11
4	2014	12
6	2015	01
4	2015	02
7	2015	03
5	2015	04
11	2015	05
8	2015	06
40	2015	07
86	2015	08
28	2015	09
42	2015	10
74	2015	11
27	2015	12
60	2016	01
41	2016	02
32	2016	03
36	2016	04
16	2016	05
13	2016	06
13	2016	07
30	2016	08
9	2016	09
47	2016	10
40	2016	11
54	2016	12
12	2017	01
20	2017	02
18	2017	03
7	2017	04
17	2017	05
16	2017	06
24	2017	07
45	2017	08
52	2017	09
87	2017	10
92	2017	11
81	2017	12
158	2018	01
115	2018	02
114	2018	03
59	2018	04
125	2018	05
84	2018	06
85	2018	07
43	2018	08
136	2018	09
76	2018	10
122	2018	11
207	2018	12
147	2019	01
56	2019	02
95	2019	03
21	2019	04
41	2019	05
49	2019	06
110	2019	07
61	2019	08
29	2019	09
70	2019	10
48	2019	11
85	2019	12
83	2020	01
96	2020	02
100	2020	03
57	2020	04
46	2020	05
46	2020	06
46	2020	07
50	2020	08
34	2020	09
73	2020	10
53	2020	11
58	2020	12
38	2021	01
43	2021	02
118	2021	03
133	2021	04
7	2021	05
